Ensino Fundamental Regular - Anos Finais;;;;;;;;;;;;;;;;;;;;;;;
Indicadores educacionais compostos por: Taxa de Aprovação, SAEB e IDEB nos anos de 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019, 20211 e 2023 e Metas do 1º ciclo do Ideb2,3 (2007-2021). Os dados estão dimensionados por escola e organizados por rede de ensino.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;"IDEB
2005
(N x P)";"IDEB
2007
(N x P)";"IDEB
2009
(N x P)";"IDEB
2011
(N x P)";"IDEB
2013
(N x P)";"IDEB
2015
(N x P)";"IDEB
2017
(N x P)";"IDEB
2019
(N x P)";"IDEB
20211
(N x P)";"IDEB
2023
(N x P)";Metas do 1º ciclo do Ideb2,3 (2007-2021);;;;;;;
GO;5200134;Acreúna;52055949;ESCOLA MUNICIPAL CORONEL FELIX;Municipal;-;2,8;-;-;-;4,2;5;4,1;4,2;5,5;-;2,9;3,1;3,4;3,8;4;4,3;4,6
GO;5200159;Adelândia;52028194;COLEGIO ESTADUAL FRANCISCO DE ASSIS LOBO SOBRINHO;Estadual;3,3;3,5;3,5;3,2;4,5;4,3;4,9;-;4,8;4,9;3,4;3,5;3,8;4,2;4,6;4,8;5,1;5,3
GO;5200175;Água Fria de Goiás;52043533;CENTRO DE ENSINO EM PERIODO INTEGRAL AGUA FRIA;Estadual;3,3;-;4;4,2;3,6;4,8;5,5;5;4,4;5,2;3,3;3,5;3,7;4,2;4,5;4,8;5,1;5,3
GO;5200175;Água Fria de Goiás;52043541;COLEGIO ESTADUAL POVOADO MATO SECO;Estadual;-;-;2,8;-;-;-;-;-;-;-;-;-;3;3,2;3,6;3,8;4,1;4,4
GO;5200175;Água Fria de Goiás;52076482;ESCOLA MUNICIPAL LIBORIO;Municipal;-;-;3,7;-;-;-;4,8;5;4,8;-;-;-;3,8;4,1;4,4;4,7;4,9;5,2
GO;5200209;Água Limpa;52057801;COLEGIO ESTADUAL BERNARDINO GUIMARAES;Estadual;3,1;4;4,1;3,9;4,6;3,8;-;5,5;5,7;6,2;3,1;3,2;3,5;3,9;4,3;4,6;4,8;5,1
GO;5200258;Águas Lindas de Goiás;52069630;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS DE AGUAS LINDAS DE GOIAS;Estadual;3,9;-;3,3;4,1;3,8;3,5;4,2;-;4,6;5,2;3,9;4,1;4,3;4,7;5,1;5,4;5,6;5,8
GO;5200258;Águas Lindas de Goiás;52073459;COLEGIO ESTADUAL MARIA DO CARMO LIMA;Estadual;-;3;2,3;3,8;2,8;3,7;4,4;4,2;4,3;4,8;-;3,1;3,3;3,7;4;4,3;4,5;4,8
GO;5200258;Águas Lindas de Goiás;52073467;COLEGIO ESTADUAL EMILIA FERREIRA BRANCO;Estadual;-;-;2,9;2,9;3,4;2,9;3,7;-;4;4,2;-;-;3;3,3;3,6;3,9;4,1;4,4
GO;5200258;Águas Lindas de Goiás;52075583;CENTRO DE ENSINO EM PERIODO INTEGRAL JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;-;2,6;2,8;2,9;3,6;3,7;4,4;4,6;4,6;5,6;-;2,7;2,9;3,2;3,6;3,8;4,1;4,3
GO;5200258;Águas Lindas de Goiás;52077411;COLEGIO ESTADUAL PAULO FREIRE;Estadual;3,1;2,4;2,8;2,7;3,2;2,6;-;4,1;-;4,6;3,1;3,3;3,5;3,9;4,3;4,6;4,8;5,1
GO;5200258;Águas Lindas de Goiás;52078507;COLEGIO ESTADUAL AYRTON SENNA DA SILVA;Estadual;-;-;2,6;3;3,5;3,6;4,5;4,1;4,7;5;-;-;2,8;3;3,3;3,6;3,9;4,2
GO;5200258;Águas Lindas de Goiás;52078523;COLEGIO ESTADUAL PRINCESA DAIANA;Estadual;3,4;2,3;2,8;3,2;3,3;3,2;4,6;4,1;4,7;4,8;3,4;3,5;3,8;4,2;4,6;4,9;5,1;5,4
GO;5200258;Águas Lindas de Goiás;52079562;COLEGIO ESTADUAL CORA CORALINA;Estadual;3,9;-;2,4;-;2,4;3,7;5;5,4;5,2;5,2;4;4,1;4,4;4,8;5,2;5,4;5,7;5,9
GO;5200258;Águas Lindas de Goiás;52081850;COLEGIO ESTADUAL PIAGET;Estadual;3,2;-;3,1;3,5;3,6;2,9;4,3;4,7;4,7;4,4;3,3;3,4;3,7;4,1;4,5;4,7;5;5,3
GO;5200258;Águas Lindas de Goiás;52086038;COLEGIO ESTADUAL RAFAEL DE SOUZA BARBOSA;Estadual;2,8;-;2,4;3,2;4,5;3,9;4,7;-;4,6;4,9;2,9;3;3,3;3,7;4,1;4,3;4,6;4,9
GO;5200258;Águas Lindas de Goiás;52086046;CENTRO DE ENSINO EM PERIODO INTEGRAL MACHADO DE ASSIS;Estadual;2,6;-;1,8;3,1;3,5;2,6;-;3,9;4;4,4;2,6;2,8;3;3,4;3,8;4;4,3;4,6
GO;5200258;Águas Lindas de Goiás;52086054;COLEGIO ESTADUAL TANCREDO DE ALMEIDA NEVES;Estadual;2,2;-;2,6;3,5;3,4;3,9;5;4,9;4,7;5,5;2,2;2,4;2,7;3,2;3,6;3,9;4,1;4,4
GO;5200258;Águas Lindas de Goiás;52086062;COLEGIO ESTADUAL OLAVO BILAC;Estadual;3,2;-;2,6;3;3,5;3,6;4,2;-;4,3;5,3;3,2;3,4;3,6;4;4,4;4,7;4,9;5,2
GO;5200258;Águas Lindas de Goiás;52086089;COLEGIO ESTADUAL ULYSSES GUIMARAES;Estadual;2,3;2,8;2,4;2,9;2,6;4,1;4,5;4,5;4,4;4,8;2,4;2,6;2,9;3,4;3,8;4;4,3;4,6
GO;5200258;Águas Lindas de Goiás;52086097;COLEGIO ESTADUAL DUQUE DE CAXIAS;Estadual;2,5;2,9;3,1;3,3;2,9;3,7;4;4,4;4,7;4,6;2,6;2,7;3;3,5;3,8;4,1;4,4;4,7
GO;5200258;Águas Lindas de Goiás;52086100;CENTRO DE ENSINO EM PERIODO INTEGRAL ROCHA LEAL;Estadual;3,4;2,8;2,9;3,3;4,3;3,4;3,9;4,6;-;5,4;3,4;3,6;3,9;4,3;4,6;4,9;5,2;5,4
GO;5200258;Águas Lindas de Goiás;52090949;COLEGIO ESTADUAL MANSOES ODISSEIA;Estadual;3,1;-;2,9;3,1;3,1;4;4,5;4,5;4,9;5;3,1;3,3;3,5;3,9;4,3;4,6;4,9;5,1
GO;5200308;Alexânia;52043711;COLEGIO ESTADUAL 31 DE MARCO;Estadual;4,1;4;4,3;4,2;4,2;4,4;5,1;5;4,4;-;4,1;4,3;4,6;4,9;5,3;5,6;5,8;6
GO;5200308;Alexânia;52043746;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS 13 DE MAIO;Estadual;3,5;3,3;3,3;3,7;4,5;4,7;5;5,3;6,1;6,1;3,5;3,6;3,9;4,3;4,7;4,9;5,2;5,5
GO;5200308;Alexânia;52043754;COLEGIO ESTADUAL NELSON SANTOS;Estadual;3;3,3;3,5;4,3;4,5;4,3;4,9;5,2;4,9;-;3;3,2;3,4;3,8;4,2;4,5;4,8;5
GO;5200308;Alexânia;52043762;COLEGIO ESTADUAL PADRE ANTONIO MARCIGALHA;Estadual;-;3,6;4,2;-;4,1;3,8;5,3;4,7;5,2;-;-;3,7;3,9;4,3;4,6;4,9;5,1;5,4
GO;5200308;Alexânia;52089118;ESCOLA MUNICIPAL SEBASTIANA MARIA DE JESUS;Municipal;3,9;3,9;4;3,5;3,9;3,8;-;-;4,7;3,9;3,9;4,1;4,3;4,7;5,1;5,4;5,6;5,9
GO;5200308;Alexânia;52094405;ESCOLA MUNICIPAL AGRICOLA LOTHAR SCHILLER;Municipal;-;-;-;-;-;-;5,2;5,2;4,9;5,3;-;-;-;-;-;-;5,4;5,7
GO;5200308;Alexânia;52196356;ESCOLA MUNICIPAL PARQUE ALVORADA IV;Municipal;-;-;4;4,2;-;3,6;-;4,1;-;4,7;-;-;4,2;4,5;4,8;5;5,3;5,5
GO;5200506;Aloândia;52057895;COLEGIO ESTADUAL JERONIMO VICENTE LOPES;Estadual;3,7;3,5;3,5;4,8;5,2;5,5;5,6;-;6,2;6;3,7;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5200555;Alto Horizonte;52006034;COLEGIO ESTADUAL JOAO GONCALVES FILHO;Estadual;3,4;3,5;2,9;-;-;-;4,9;4,9;-;-;3,4;3,5;3,8;4,2;4,6;4,9;5,1;5,4
GO;5200555;Alto Horizonte;52076423;COLEGIO MUNICIPAL PROFESSOR DIVINO BERNARDO;Municipal;-;-;-;3,8;3,7;5,1;-;5,4;5,6;5,3;-;-;-;4;4,3;4,6;4,8;5,1
GO;5200605;Alto Paraíso de Goiás;52012387;ESCOLA ESTADUAL DOUTOR GERSON DE FARIA PEREIRA;Estadual;3,4;3,9;3,7;3,7;4,2;5;4,6;4;4,2;4,9;3,5;3,6;3,9;4,3;4,7;4,9;5,2;5,4
GO;5200605;Alto Paraíso de Goiás;52012409;CENTRO DE ENSINO EM PERIODO INTEGRAL MOISES NUNES BANDEIRA;Estadual;4,4;3,5;4;-;3,1;-;-;-;-;-;4,4;4,5;4,8;5,2;5,5;5,8;6;6,2
GO;5200803;Alvorada do Norte;52040208;CENTRO DE ENSINO EM PERIODO INTEGRAL ANTONIO CLARET CARDOSO;Estadual;2,4;3,2;3;-;-;-;-;-;-;-;2,5;2,7;3,1;3,5;4;4,2;4,5;4,8
GO;5200803;Alvorada do Norte;52040240;ESCOLA ESTADUAL DR ANTONIO DI RAMOS CAIADO;Estadual;-;-;-;-;-;4,7;4,7;5,3;4,8;5,9;-;-;-;-;-;4,9;5,2;5,4
GO;5200803;Alvorada do Norte;52040259;CENTRO DE ENSINO EM PERIODO INTEGRAL MANOEL APRIGIO;Estadual;-;3,5;2,8;3,4;4,3;4,7;5;4,9;4,5;5,1;-;3,6;3,8;4,1;4,5;4,7;5;5,2
GO;5200803;Alvorada do Norte;52040267;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSOR ALFREDO NASSER;Estadual;-;-;-;3,7;4,5;-;5,3;-;5,2;5,8;-;-;-;3,9;4,2;4,5;4,7;5
GO;5200803;Alvorada do Norte;52040364;ESCOLA MUNICIPAL PROFA ODILIA JUSTA DA SILVA;Municipal;3;-;4,1;3,8;4,6;4,9;5,2;5,6;5,6;5,6;3;3,2;3,5;3,9;4,2;4,5;4,8;5
GO;5200829;Amaralina;52007065;COLEGIO ESTADUAL JOSINO SILVA;Estadual;3,2;3,1;3,8;3,7;4,6;4,4;5;5,4;5,5;5,2;3,2;3,3;3,6;4;4,4;4,7;4,9;5,2
GO;5200829;Amaralina;52083381;ESCOLA MUNICIPAL PEDRO FRANCISCO DIAS;Municipal;-;-;-;-;-;-;4,9;-;-;-;-;-;-;-;-;-;5,1;5,3
GO;5200852;Americano do Brasil;52028232;ESCOLA ESTADUAL BENEDITO BRAZ;Estadual;3,2;3,7;4,1;4,6;4,9;6;5,8;5,7;5,5;4,9;3,2;3,3;3,6;4;4,4;4,7;4,9;5,2
GO;5200852;Americano do Brasil;52028259;CENTRO DE ENSINO EM PERIODO INTEGRAL AMERICANO DO BRASIL;Estadual;3,4;-;3,7;-;5,4;5,4;5,7;5,8;5,5;6;3,5;3,6;3,9;4,3;4,7;4,9;5,2;5,4
GO;5200902;Amorinópolis;52026531;COLEGIO ESTADUAL PROFESSORA ANALICIA CECILIA B SILVA;Estadual;3,3;3,8;4,2;4,2;5,3;5;5,3;5;5,3;5,2;3,3;3,5;3,8;4,2;4,5;4,8;5,1;5,3
GO;5201108;Anápolis;52020363;COLEGIO ESTADUAL ADOLPHO BATISTA;Estadual;3,6;3,9;3,7;3,9;-;-;4,9;5;4,7;-;3,6;3,8;4;4,4;4,8;5,1;5,3;5,6
GO;5201108;Anápolis;52020371;COLEGIO ESTADUAL ANTENSINA SANTANA;Estadual;3,3;3,6;4;4,4;4,8;4,3;5,2;5,3;5,3;-;3,3;3,5;3,7;4,1;4,5;4,8;5;5,3
GO;5201108;Anápolis;52020398;COLEGIO ESTADUAL CARLOS DE PINA;Estadual;4;3,2;3,8;4,2;5,4;4,4;-;5,2;5,6;5,9;4;4,2;4,4;4,8;5,2;5,4;5,7;5,9
GO;5201108;Anápolis;52020401;CENTRO DE ENSINO EM PERIODO INTEGRAL DOUTOR GENSERICO GONZAGA JAIME;Estadual;2,8;4,1;4;4;-;-;-;-;6,4;5,6;2,8;3;3,3;3,8;4,2;4,4;4,7;5
GO;5201108;Anápolis;52020410;CENTRO DE ENSINO EM PERIODO INTEGRAL DOUTOR MAUA CAVALCANTE SAVIO;Estadual;3,2;4,3;3,3;4,1;4,2;4,5;4,9;4,9;5,5;-;3,2;3,3;3,6;4;4,4;4,6;4,9;5,2
GO;5201108;Anápolis;52020428;CENTRO DE ENSINO EM PERIODO INTEGRAL GOMES DE SOUZA RAMOS;Estadual;3,6;3,1;3,2;4,4;5,6;5,1;5,7;5,3;6,4;-;3,7;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5201108;Anápolis;52020436;CENTRO DE ENSINO EM PERIODO INTEGRAL JOSE LUDOVICO DE ALMEIDA;Estadual;-;3,8;4,1;4,7;4,7;4,7;-;4,9;5,3;5,8;-;3,9;4,1;4,4;4,8;5;5,3;5,5
GO;5201108;Anápolis;52020444;COLEGIO ESTADUAL PADRE FERNANDO GOMES DE MELO;Estadual;-;3,2;4,3;4,4;4,8;4;4,7;5,7;5,4;5,4;-;3,3;3,5;3,8;4,2;4,4;4,7;5
GO;5201108;Anápolis;52020452;CENTRO DE ENSINO EM PERIODO INTEGRAL PADRE TRINDADE;Estadual;-;4,3;-;-;4,9;-;-;6,3;5,5;6,3;-;4,4;4,6;5;5,3;5,5;5,8;6
GO;5201108;Anápolis;52020460;COLEGIO ESTADUAL PROFESSOR FAUSTINO;Estadual;-;2,9;3,8;3,4;2,9;-;-;-;-;-;-;3;3,2;3,6;4;4,2;4,5;4,7
GO;5201108;Anápolis;52020479;COLEGIO ESTADUAL PROFESSORA HELENA NASSER;Estadual;-;4,3;4;3,5;4,5;5;5,2;5,5;5,3;5,4;-;4,4;4,6;4,9;5,3;5,5;5,7;6
GO;5201108;Anápolis;52020487;COLEGIO ESTADUAL PROFESSOR HELI ALVES FERREIRA;Estadual;-;3,6;4,1;4,5;4,7;5;5,7;5,4;5,9;5,9;-;3,7;3,9;4,3;4,6;4,8;5,1;5,4
GO;5201108;Anápolis;52020509;CENTRO DE ENSINO EM PERIODO INTEGRAL VIRGINIO SANTILLO;Estadual;3,3;3;3,3;4,2;4,7;4,4;5,3;4,8;4,3;-;3,3;3,5;3,8;4,2;4,6;4,8;5,1;5,3
GO;5201108;Anápolis;52020533;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS GABRIEL ISSA;Estadual;4,1;4;3,9;3,8;5;5,8;6,9;7,2;6,7;7,3;4,1;4,3;4,6;5;5,3;5,6;5,8;6
GO;5201108;Anápolis;52020541;COLEGIO ESTADUAL POLIVALENTE FREI JOAO BATISTA;Estadual;-;3,6;3,7;4,7;4,6;5,3;5,8;5,5;5,4;4,9;-;3,7;3,9;4,2;4,6;4,8;5,1;5,3
GO;5201108;Anápolis;52020576;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS DR CESAR TOLEDO;Estadual;-;4,7;5,4;6,7;7;7,2;7,5;7,5;6,8;7,3;-;4,8;5;5,3;5,6;5,9;6,1;6,3
GO;5201108;Anápolis;52020843;COLEGIO ESTADUAL AMERICO BORGES DE CARVALHO;Estadual;-;3,3;2,8;4;4;4,5;4,8;4,9;4,9;5;-;3,4;3,6;3,9;4,3;4,5;4,8;5
GO;5201108;Anápolis;52020851;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS ARLINDO COSTA;Estadual;-;3,5;4;4;4,7;4,3;6,1;6,4;6,5;6,8;-;3,5;3,8;4,1;4,4;4,7;4,9;5,2
GO;5201108;Anápolis;52020860;COLEGIO ESTADUAL CASTELO BRANCO;Estadual;-;4,2;-;-;5,2;4,8;5,6;4,4;5;4,7;-;4,3;4,5;4,8;5,2;5,4;5,6;5,9
GO;5201108;Anápolis;52020894;COLEGIO ESTADUAL DURVAL NUNES DA MATA;Estadual;-;3,5;3,4;4,3;4;3,4;5;4,8;5;5,1;-;3,6;3,8;4,2;4,5;4,7;5;5,3
GO;5201108;Anápolis;52020924;COLEGIO ESTADUAL GENERAL CURADO;Estadual;3,4;3,1;2,8;3,5;4,2;4,6;4,7;5,3;4,9;5,2;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
GO;5201108;Anápolis;52020932;COLEGIO ESTADUAL GENOVEVA REZENDE CARNEIRO;Estadual;-;3,8;3,5;4,8;4,3;5,1;5,7;5,5;5,5;5,7;-;3,9;4,1;4,4;4,8;5;5,3;5,5
GO;5201108;Anápolis;52020940;COLEGIO ESTADUAL HERTA LAYSER ODWYER;Estadual;-;4,2;3,5;3,9;5,3;5,5;5,7;5,7;5,4;5;-;4,3;4,5;4,8;5,2;5,4;5,6;5,9
GO;5201108;Anápolis;52020959;COLEGIO ESTADUAL JAD SALOMAO;Estadual;-;3,5;3,3;4,1;3,8;4,2;5,1;4,5;5,2;4,6;-;3,6;3,8;4,1;4,4;4,7;5;5,2
GO;5201108;Anápolis;52020967;COLEGIO ESTADUAL LEINY LOPES DE SOUZA;Estadual;3,6;3,7;3,3;4,3;4,7;4,6;4,9;5,2;5,2;5,3;3,7;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5201108;Anápolis;52020975;CENTRO DE ENSINO EM PERIODO INTEGRAL LIONS MELCHIOR DE ARAUJO;Estadual;2,9;2,9;3,6;-;5,9;5,4;6;6,2;5,5;6,2;3;3,1;3,4;3,8;4,2;4,4;4,7;5
GO;5201108;Anápolis;52020991;COLEGIO ESTADUAL MARIA APARECIDA ALVES;Estadual;-;3,9;4;5,1;5,1;5,3;5,5;5,5;5,5;6;-;4;4,2;4,5;4,8;5,1;5,3;5,6
GO;5201108;Anápolis;52021009;CENTRO DE ENSINO EM PERIODO INTEGRAL OSVALDO FRANCISCO SILVA;Estadual;-;3,7;3,8;4;4,6;3,5;4,8;5,1;5,3;5,8;-;3,8;4;4,4;4,7;5;5,2;5,5
GO;5201108;Anápolis;52021025;COLEGIO ESTADUAL PLINIO JAIME;Estadual;3;3,2;3,5;3,7;4,9;4,6;4,9;5;5,2;5;3;3,1;3,4;3,8;4,2;4,5;4,7;5
GO;5201108;Anápolis;52021033;COLEGIO ESTADUAL PROFESSOR JOSE ABDALLA;Estadual;3,2;3,7;3,6;3,5;4,9;4,8;5,6;4,5;5,3;5,2;3,3;3,4;3,7;4,1;4,5;4,7;5;5,3
GO;5201108;Anápolis;52021041;COLEGIO ESTADUAL PROFESSOR SALVADOR SANTOS;Estadual;-;3;3;4;4,3;4,5;4,9;5;4,8;5,1;-;3,1;3,3;3,7;4;4,3;4,5;4,8
GO;5201108;Anápolis;52021068;COLEGIO ESTADUAL ROTARY DONANA;Estadual;3,6;3,4;3,3;4;3,9;4,2;5,5;-;5,5;5,2;3,6;3,7;4;4,4;4,8;5;5,3;5,6
GO;5201108;Anápolis;52021076;COLEGIO ESTADUAL VEREADOR LUIZ DE ALMEIDA;Estadual;3,6;3,8;3,2;3,4;4;4,2;4,6;4,7;5,4;5,6;3,7;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5201108;Anápolis;52021084;COLEGIO ESTADUAL VIOLETA PITALUGA;Estadual;4,2;4,6;5,4;5,6;5,8;-;5,3;4,4;-;5,4;4,2;4,4;4,6;5;5,4;5,6;5,9;6,1
GO;5201108;Anápolis;52021092;COLEGIO ESTADUAL WALDEMAR DE PAULA CAVALCANTI;Estadual;2,8;3;4,1;4,5;5;4,5;4,6;4,9;4,4;4,4;2,9;3;3,3;3,7;4,1;4,3;4,6;4,9
GO;5201108;Anápolis;52021106;COLEGIO ESTADUAL ZECA BATISTA;Estadual;3,5;3,4;3,6;4;4,3;4,8;5,1;5,8;5,4;5,6;3,6;3,7;4;4,4;4,8;5;5,3;5,5
GO;5201108;Anápolis;52021165;ESCOLA MUNICIPAL AFONSINA MENDES DO CARMO;Municipal;-;4,3;-;-;-;-;-;-;-;-;-;4,4;4,6;4,9;5,3;5,5;5,7;6
GO;5201108;Anápolis;52021173;ESCOLA MUNICIPAL LIONS ANHANGUERA;Municipal;4,1;3,9;-;-;-;4,7;5,9;5,2;-;-;4,1;4,3;4,6;5;5,3;5,6;5,8;6
GO;5201108;Anápolis;52021203;ESCOLA MUNICIPAL CLOVIS GUERRA;Municipal;-;4,8;4;4,7;-;-;-;-;-;-;-;4,9;5,1;5,4;5,7;5,9;6,2;6,4
GO;5201108;Anápolis;52021211;ESCOLA MUNICIPAL CORA CORALINA;Municipal;3,2;3,3;4;4,5;3,7;-;-;-;-;-;3,2;3,4;3,6;4;4,4;4,7;4,9;5,2
GO;5201108;Anápolis;52021238;ESCOLA MUNICIPAL DEPUTADO JOSE DE ASSIS;Municipal;3,2;4,1;4,7;4,2;5,1;5;-;-;-;-;3,2;3,4;3,7;4,1;4,5;4,8;5;5,3
GO;5201108;Anápolis;52021246;ESCOLA MUNICIPAL DONA ALEXANDRINA;Municipal;-;4,4;4,7;-;-;-;-;-;-;-;-;4,5;4,7;5;5,4;5,6;5,8;6,1
GO;5201108;Anápolis;52021254;ESCOLA MUNICIPAL DR ADAHYL LOURENCO DIAS;Municipal;-;3,8;-;-;4,6;4;5,2;4,9;5,3;4,9;-;3,9;4,1;4,4;4,8;5;5,3;5,5
GO;5201108;Anápolis;52021300;ESCOLA MUNICIPAL JERONIMO VAZ;Municipal;-;-;-;4,4;4,2;-;-;-;-;-;-;-;-;4,6;4,9;5,1;5,4;5,6
GO;5201108;Anápolis;52021319;ESCOLA MUNICIPAL JOAO LUIZ DE OLIVEIRA;Municipal;3,6;4;4,3;4,3;4,1;5;5,4;4,8;5;-;3,6;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5201108;Anápolis;52021335;ESCOLA MUNICIPAL MARIA APARECIDA GEBRIM;Municipal;3,9;3,2;-;4;4,3;4,1;4,5;5,2;4,3;5,1;4;4,1;4,4;4,8;5,2;5,4;5,6;5,9
GO;5201108;Anápolis;52021360;ESCOLA MUNICIPAL MOACYR ROMEU COSTA;Municipal;2,4;3,4;3,3;2,6;2,9;-;-;-;-;-;2,5;2,8;3,2;3,7;4,1;4,4;4,6;4,9
GO;5201108;Anápolis;52021394;ESCOLA MUNICIPAL PEDRO LUDOVICO TEIXEIRA;Municipal;3,9;4,1;-;-;-;5,5;5,9;5,2;5,2;4,9;3,9;4,1;4,4;4,8;5,1;5,4;5,6;5,9
GO;5201108;Anápolis;52021475;ESCOLA MUNICIPAL WADY CECILIO;Municipal;-;-;-;3,8;-;-;-;4,5;-;4,7;-;-;-;4;4,3;4,5;4,8;5,1
GO;5201108;Anápolis;52021513;ESCOLA PAROQUIAL SANTO ANTONIO;Municipal;4,7;4,3;5,2;5,3;-;-;-;-;-;-;4,8;4,9;5,2;5,6;5,9;6,1;6,3;6,5
GO;5201108;Anápolis;52021726;ESCOLA MUNICIPAL ALFREDO JACOMOSSI;Municipal;-;3,3;-;-;4,1;-;-;-;-;-;-;3,4;3,6;3,9;4,3;4,5;4,8;5
GO;5201108;Anápolis;52021750;ESCOLA MUNICIPAL JOAO AMELIO DA SILVA;Municipal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GO;5201108;Anápolis;52021777;ESCOLA MUNICIPAL RAIMUNDA DE OLIVEIRA PASSOS;Municipal;-;4,1;-;-;-;5,6;5;5,9;-;6,6;-;4,1;4,4;4,7;5;5,3;5,5;5,8
GO;5201108;Anápolis;52021785;ESCOLA MUNICIPAL RAYMUNDO PAULO HARGREAVES;Municipal;-;4,3;-;3,3;-;-;-;-;-;-;-;4,3;4,6;4,9;5,2;5,5;5,7;5,9
GO;5201108;Anápolis;52021793;ESCOLA MUNICIPAL REALINO JOSE DE OLIVEIRA;Municipal;3,4;3,9;3,7;3,8;4,1;4,4;4,4;4,8;-;4,4;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
